更新时间: 2026-04-13 00:09:48（北京时间）

更新时间,#genre#
2026-04-13 00:09:48,https://

央视频道,#genre#
湖南卫视,http://111.193.235.246:8888/rtp/239.3.1.132:8012$北京市联通
湖南卫视,http://175.147.82.194:4455/rtp/232.0.0.115:1234$辽宁联通
湖南卫视,http://27.14.208.229:8000/rtp/225.0.4.75:7980$重庆市联通
湖南卫视,http://183.30.201.165:10002/rtp/239.77.1.5:5146$广东电信
湖南卫视,http://183.30.201.165:10002/rtp/239.77.0.56:5146$广东电信
湖南卫视,http://221.219.75.32:4000/rtp/239.3.1.132:8012$北京市联通
浙江卫视,http://111.193.235.246:8888/rtp/239.3.1.137:8036$北京市联通
浙江卫视,http://175.147.82.194:4455/rtp/232.0.0.123:1234$辽宁联通
浙江卫视,http://27.14.208.229:8000/rtp/225.0.4.81:7980$重庆市联通
浙江卫视,http://183.30.201.165:10002/rtp/239.77.0.89:5146$广东电信
浙江卫视,http://183.30.201.165:10002/rtp/239.77.0.58:5146$广东电信
浙江卫视,http://221.219.75.32:4000/rtp/239.3.1.137:8036$北京市联通
江苏卫视,http://111.193.235.246:8888/rtp/239.3.1.135:8028$北京市联通
江苏卫视,http://175.147.82.194:4455/rtp/232.0.0.116:1234$辽宁联通
江苏卫视,http://27.14.208.229:8000/rtp/225.0.4.79:7980$重庆市联通
江苏卫视,http://183.30.201.165:10002/rtp/239.77.1.18:5146$广东电信
江苏卫视,http://183.30.201.165:10002/rtp/239.77.0.57:5146$广东电信
江苏卫视,http://221.219.75.32:4000/rtp/239.3.1.135:8028$北京市联通
东方卫视,http://111.193.235.246:8888/rtp/239.3.1.136:8032$北京市联通
东方卫视,http://27.14.208.229:8000/rtp/225.0.4.80:7980$重庆市联通
东方卫视,http://183.30.201.165:10002/rtp/239.77.1.218:5146$广东电信
东方卫视,http://221.219.75.32:4000/rtp/239.3.1.136:8032$北京市联通
深圳卫视,http://111.193.235.246:8888/rtp/239.3.1.134:8020$北京市联通
深圳卫视,http://175.147.82.194:4455/rtp/232.0.0.110:1234$辽宁联通
深圳卫视,http://27.14.208.229:8000/rtp/225.0.4.202:7980$重庆市联通
深圳卫视,http://183.30.201.165:10002/rtp/239.77.0.92:5146$广东电信
深圳卫视,http://183.30.201.165:10002/rtp/239.77.0.67:5146$广东电信
深圳卫视,http://183.30.201.165:10002/rtp/239.77.1.14:5146$广东电信
深圳卫视,http://221.219.75.32:4000/rtp/239.3.1.134:8020$北京市联通
北京卫视,http://111.193.235.246:8888/rtp/239.3.1.241:8000$北京市联通
北京卫视,http://175.147.82.194:4455/rtp/232.0.0.117:1234$辽宁联通
北京卫视,http://27.14.208.229:8000/rtp/225.0.4.78:7980$重庆市联通
北京卫视,http://183.30.201.165:10002/rtp/239.77.0.91:5146$广东电信
北京卫视,http://183.30.201.165:10002/rtp/239.77.0.2:5146$广东电信
北京卫视,http://183.30.201.165:10002/rtp/239.77.0.3:5146$广东电信
北京卫视,http://183.30.201.165:10002/rtp/239.77.0.153:5146$广东电信
北京卫视,http://183.30.201.165:10002/rtp/239.77.0.233:5146$广东电信
北京卫视,http://183.30.201.165:10002/rtp/239.77.1.13:5146$广东电信
北京卫视,http://221.219.75.32:4000/rtp/239.3.1.241:8000$北京市联通
广东卫视,http://111.193.235.246:8888/rtp/239.3.1.142:8048$北京市联通
广东卫视,http://175.147.82.194:4455/rtp/232.0.0.130:1234$辽宁联通
